duration_in_datapoints,count
1,32815
2,1359
3,1746
4,1846
5,1864
6,2000
7,1798
8,1818
9,1658
10,1502
11,1408
12,1422
13,1307
14,1152
15,1096
16,1049
17,893
18,881
19,789
20,748
21,630
22,654
23,632
24,532
25,538
26,507
27,514
28,466
29,463
30,440
31,398
32,352
33,399
34,388
35,359
36,368
37,324
38,307
39,341
40,320
41,317
42,304
43,283
44,315
45,269
46,280
47,262
48,261
49,236
50,271
51,302
52,242
53,246
54,246
55,244
56,218
57,209
58,217
59,201
60,209
61,196
62,216
63,195
64,194
65,179
66,204
67,201
68,173
69,187
70,195
71,169
72,173
73,170
74,170
75,181
76,151
77,153
78,169
79,136
80,181
81,146
82,171
83,146
84,145
85,140
86,138
87,145
88,131
89,124
90,147
91,135
92,129
93,115
94,129
95,129
96,133
97,118
98,120
99,103
100,110
101,112
102,127
103,98
104,96
105,127
106,117
107,98
108,104
109,123
110,110
111,93
112,111
113,109
114,100
115,107
116,84
117,90
118,84
119,88
120,92
121,74
122,94
123,80
124,62
125,84
126,80
127,71
128,76
129,83
130,65
131,75
132,60
133,78
134,95
135,80
136,84
137,69
138,77
139,80
140,65
141,65
142,63
143,66
144,79
145,69
146,80
147,78
148,60
149,62
150,52
151,63
152,63
153,61
154,59
155,66
156,56
157,73
158,48
159,55
160,69
161,50
162,43
163,47
164,43
165,59
166,47
167,55
168,57
169,53
170,52
171,44
172,42
173,47
174,56
175,56
176,47
177,61
178,45
179,48
180,45
181,41
182,46
183,41
184,50
185,47
186,50
187,35
188,38
189,49
190,32
191,43
192,42
193,41
194,35
195,45
196,30
197,38
198,46
199,41
200,28
201,22
202,37
203,34
204,40
205,22
206,35
207,32
208,42
209,36
210,37
211,38
212,33
213,22
214,45
215,26
216,18
217,26
218,29
219,33
220,25
221,32
222,33
223,25
224,39
225,29
226,27
227,27
228,24
229,26
230,24
231,27
232,25
233,24
234,32
235,25
236,21
237,30
238,19
239,23
240,29
241,27
242,25
243,24
244,25
245,16
246,20
247,21
248,31
249,20
250,27
251,13
252,22
253,19
254,15
255,29
256,19
257,20
258,28
259,17
260,23
261,22
262,26
263,12
264,13
265,24
266,25
267,32
268,19
269,19
270,15
271,13
272,21
273,19
274,19
275,15
276,14
277,20
278,12
279,18
280,21
281,20
282,15
283,16
284,16
285,24
286,18
287,23
288,22
289,18
290,16
291,19
292,17
293,17
294,18
295,15
296,11
297,18
298,15
299,12
300,13
301,14
302,14
303,17
304,15
305,14
306,22
307,12
308,19
309,21
310,16
311,10
312,17
313,15
314,13
315,14
316,19
317,9
318,10
319,17
320,14
321,13
322,13
323,17
324,17
325,11
326,10
327,10
328,11
329,13
330,6
331,20
332,21
333,12
334,17
335,9
336,8
337,10
338,10
339,14
340,16
341,13
342,11
343,11
344,16
345,13
346,11
347,7
348,7
349,5
350,11
351,7
352,9
353,13
354,8
355,6
356,13
357,6
358,6
359,7
360,8
361,12
362,18
363,11
364,6
365,15
366,10
367,11
368,11
369,14
370,10
371,12
372,9
373,8
374,14
375,6
376,9
377,12
378,7
379,9
380,8
381,10
382,5
383,6
384,13
385,10
386,7
387,6
388,3
389,10
390,4
391,9
392,4
393,11
394,12
395,8
396,5
397,5
398,8
399,6
400,7
401,8
402,10
403,8
404,10
405,6
406,9
407,8
408,4
409,8
410,7
411,7
412,6
413,9
414,9
415,8
416,7
417,7
418,7
419,9
420,6
421,4
422,8
423,10
424,4
425,12
426,6
427,8
428,3
429,9
430,6
431,8
432,5
433,8
434,3
435,5
436,10
437,7
438,4
439,5
440,3
441,4
442,10
443,7
444,6
445,4
446,9
447,11
448,9
449,10
450,9
451,8
452,3
453,7
454,7
455,11
456,10
457,6
458,7
459,8
460,6
461,8
462,6
463,3
464,5
465,6
466,10
467,3
468,5
469,2
470,3
471,7
472,7
473,10
474,1
475,6
476,6
477,5
478,9
479,3
480,4
481,7
482,4
483,5
484,3
485,3
486,3
487,5
488,6
489,4
490,6
491,7
492,4
493,3
494,8
495,3
496,8
497,3
498,1
499,7
500,5
501,5
502,12
503,6
504,5
505,4
506,3
507,3
508,4
509,6
510,6
511,3
512,3
513,4
514,5
515,2
516,1
517,5
518,4
519,5
520,6
521,7
522,5
523,4
524,3
525,6
526,3
527,5
528,4
529,2
530,1
531,3
532,9
533,4
534,5
535,2
536,4
537,3
538,4
539,5
540,6
541,4
542,4
543,14
544,2
545,9
546,2
547,3
548,7
549,5
550,5
551,1
552,1
553,2
554,4
555,2
556,3
557,1
558,2
559,6
560,4
561,7
562,3
563,4
564,6
565,4
566,2
567,3
568,3
569,3
570,3
571,1
573,4
574,2
575,5
576,4
577,5
578,4
579,3
580,2
581,3
582,4
583,1
584,3
585,2
586,1
587,1
588,2
589,3
590,3
591,3
592,3
593,3
594,3
595,7
596,1
597,4
598,2
599,2
600,2
601,6
602,2
603,3
604,6
606,4
607,1
608,1
609,3
610,4
611,3
612,5
613,3
614,1
615,2
616,8
617,3
618,4
619,2
621,5
622,2
624,5
625,5
626,2
627,1
628,1
629,1
630,1
631,1
633,3
634,2
635,2
638,1
639,1
640,5
641,1
642,2
644,3
645,3
646,3
647,6
648,2
649,1
650,3
651,3
652,5
653,2
654,2
655,3
656,2
657,1
658,2
659,1
660,1
661,2
662,2
663,2
664,1
665,2
666,2
667,1
668,5
669,2
670,1
671,1
672,1
673,2
674,3
676,1
677,2
678,4
679,1
680,4
681,4
682,1
683,2
684,1
685,1
686,1
687,1
688,2
690,1
691,2
692,1
693,3
694,1
696,3
697,1
698,1
699,1
700,1
701,3
702,1
703,2
704,3
706,2
707,3
708,2
709,3
711,4
712,2
713,2
714,2
716,2
719,2
720,4
721,3
722,1
723,2
724,2
725,2
726,2
727,2
728,2
729,2
730,2
731,4
732,3
734,3
735,2
737,2
739,1
740,3
743,2
744,2
747,2
748,1
749,1
750,1
751,1
752,2
753,2
754,1
755,1
756,3
757,3
758,2
759,3
760,2
761,3
763,3
764,2
765,1
766,2
769,2
770,1
771,1
772,1
773,1
776,2
777,1
778,1
779,2
780,1
781,2
782,1
783,1
784,1
786,1
787,2
790,2
791,2
792,2
793,1
794,1
795,3
796,1
797,1
799,2
800,1
801,2
802,1
803,1
804,2
807,1
808,2
809,4
810,1
811,1
812,2
815,2
816,1
817,1
819,1
820,1
821,2
822,2
824,1
825,1
826,4
827,1
828,2
829,1
831,2
832,1
833,1
834,4
835,2
839,1
840,1
842,1
843,1
844,1
847,2
849,2
850,3
851,1
852,1
854,1
855,2
856,2
857,3
858,2
859,3
861,1
864,3
865,1
866,1
867,1
868,1
870,5
871,1
873,3
874,2
875,1
876,2
877,1
882,1
884,1
885,1
887,1
888,1
890,1
892,1
893,1
897,1
898,1
899,1
900,2
901,1
902,2
906,1
911,1
912,1
916,1
919,2
920,2
921,1
922,1
928,2
929,1
930,1
931,1
933,2
936,1
938,3
939,1
943,1
945,2
947,1
949,2
950,1
951,1
953,2
954,1
957,1
958,1
959,1
960,2
961,1
962,1
965,2
966,2
967,1
968,1
971,1
972,1
973,1
975,2
976,1
978,1
980,3
981,1
983,1
984,1
985,1
986,1
996,1
997,1
998,2
1001,1
1002,1
1004,1
1008,1
1010,3
1014,1
1015,1
1019,1
1020,1
1025,1
1028,2
1030,1
1032,1
1034,1
1035,1
1037,1
1038,1
1040,1
1043,1
1044,2
1045,1
1052,1
1054,1
1055,1
1056,1
1060,1
1062,1
1064,1
1067,1
1068,1
1070,2
1071,1
1074,2
1075,3
1077,1
1078,1
1082,1
1089,1
1091,1
1103,2
1105,1
1106,2
1113,3
1119,1
1122,2
1123,1
1128,1
1130,1
1132,2
1135,2
1142,1
1146,1
1148,2
1155,1
1159,2
1161,2
1170,2
1173,1
1174,1
1175,1
1181,1
1182,1
1186,2
1188,1
1189,3
1192,1
1193,1
1199,1
1201,1
1203,1
1205,1
1207,1
1215,1
1217,1
1219,1
1241,1
1243,1
1244,1
1254,2
1257,1
1262,1
1271,1
1274,1
1279,1
1293,1
1297,1
1303,1
1306,1
1309,1
1311,1
1320,1
1321,1
1323,1
1324,1
1330,1
1337,1
1340,1
1348,1
1355,1
1356,1
1362,1
1368,2
1374,1
1382,1
1393,1
1394,1
1395,1
1396,1
1397,1
1398,1
1401,2
1403,1
1419,1
1423,1
1427,1
1433,1
1434,1
1441,1
1442,1
1443,1
1446,1
1449,1
1451,1
1454,1
1462,1
1463,1
1467,1
1478,1
1481,1
1488,1
1502,1
1517,1
1526,1
1530,1
1536,1
1556,1
1570,1
1600,1
1603,1
1604,1
1610,1
1615,1
1626,1
1627,1
1634,1
1635,1
1643,1
1646,1
1655,2
1659,1
1670,1
1673,1
1674,1
1689,2
1691,1
1697,1
1699,1
1738,1
1748,1
1773,1
1784,1
1811,1
1832,1
1855,1
1860,2
1868,1
1876,1
1901,1
1905,1
1939,2
1977,1
1995,1
2005,1
2033,1
2034,1
2072,1
2129,1
2131,1
2145,1
2194,1
2195,1
2204,1
2281,1
2417,1
2454,1
2558,1
2563,1
2650,1
2678,1
2830,1
2870,1
3518,1
4284,1
